id,"idcounty","idmuni","municipality","logo"
107,"06","0627","Røyken","Roeyken.png"
108,"06","0621","Sigdal","Sigdal.png"
109,"06","0624","Øvre Eiker","Oevre_Eiker.png"
110,"06","0619","Ål","Aal.png"
111,"07","0719","Andebu","Andebu.png"
112,"07","0714","Hof","Hof.png"
113,"07","0702","Holmestrand","Holmestrand.png"
114,"07","0701","Horten","Horten_komm.png"
115,"07","0728","Lardal","Lardal.png"
116,"07","0709","Larvik","Larvik.png"
117,"07","0722","Nøtterøy","Noetteroey.png"
118,"07","0716","Re","Re.png"
119,"07","0713","Sande","Sande_Vestfold.png"
120,"07","0706","Sandefjord","Sandefjord.png"
121,"07","0720","Stokke","Stokke.png"
122,"07","0711","Svelvik","Svelvik.png"
123,"07","0723","Tjøme","Tjoeme.png"
124,"07","0704","Tønsberg","Toensberg.png"
125,"08","0814","Bamble","Bamble.png"
126,"08","0821","Bø","Boe_Telemark.png"
127,"08","0817","Drangedal","Drangedal.png"
128,"08","0831","Fyresdal","Fyresdal.png"
129,"08","0827","Hjartdal","Hjartdal.png"
130,"08","0815","Kragerø","Krageroe.png"
131,"08","0829","Kviteseid","Kviteseid.png"
132,"08","0830","Nissedal","Nissedal.png"
133,"08","0819","Nome","Nome.png"
134,"08","0807","Notodden","Notodden.png"
135,"08","0805","Porsgrunn","Porsgrunn.png"
136,"08","0822","Sauherad","Sauherad.png"
137,"08","0828","Seljord","Seljord.png"
138,"08","0811","Siljan","Siljan.png"
139,"08","0806","Skien","Skien.png"
140,"08","0826","Tinn","Tinn.png"
141,"08","0833","Tokke","Tokke.png"
142,"08","0834","Vinje","Vinje.png"
143,"09","0906","Arendal","Arendal.png"
144,"09","0928","Birkenes","Birkenes.png"
145,"09","0938","Bygland","Bygland.png"
146,"09","0941","Bykle","Bykle.png"
147,"09","0937","Evje og Hornnes","Evje_og_Hornnes.png"
148,"09","0919","Froland","Froland.png"
149,"09","0911","Gjerstad","Gjerstad.png"
150,"09","0904","Grimstad","Grimstad.png"
151,"09","0935","Iveland","Iveland.png"
152,"09","0926","Lillesand","Lillesand.png"
153,"09","0901","Risør","Risoer.png"
154,"09","0914","Tvedestrand","Tvedestrand.png"
155,"09","0940","Valle","Valle.png"
156,"09","0912","Vegårshei","Vegaarshei.png"
157,"09","0929","Åmli","Aamli.png"
158,"10","1027","Audnedal","Audnedal.png"
159,"10","1003","Farsund","Farsund.png"
160,"10","1004","Flekkefjord","Flekkefjord.png"
161,"10","1034","Hægebostad","Haegebostad.png"
162,"10","1001","Kristiansand","Kristiansand.png"
163,"10","1037","Kvinesdal","Kvinesdal.png"
164,"10","1029","Lindesnes","Lindesnes.png"
165,"10","1032","Lyngdal","Lyngdal.png"
166,"10","1002","Mandal","Mandal.png"
167,"10","1021","Marnardal","Marnardal.png"
168,"10","1046","Sirdal","Sirdal.png"
169,"10","1017","Songdalen","Songdalen.png"
170,"10","1018","Søgne","Soegne.png"
171,"10","1014","Vennesla","Vennesla.png"
172,"10","1026","Åseral","Aaseral.png"
173,"11","1114","Bjerkreim","Bjerkreim.png"
174,"11","1145","Bokn","Bokn.png"
175,"11","1101","Eigersund","Eigersund.png"
176,"11","1141","Finnøy","Finnoey.png"
177,"11","1129","Forsand","Forsand.png"
178,"11","1122","Gjesdal","Gjesdal.png"
179,"11","1106","Haugesund","Haugesund.png"
180,"11","1133","Hjelmeland","Hjelmeland.png"
181,"11","1119","Hå","Haa.png"
182,"11","1149","Karmøy","Karmoey.png"
183,"11","1120","Klepp","Klepp.png"
184,"11","1144","Kvitsøy","Kvitsoey.png"
185,"11","1112","Lund","Lund.png"
186,"11","1127","Randaberg","Randaberg.png"
187,"11","1142","Rennesøy","Rennesoey.png"
188,"11","1102","Sandnes","Sandnes.png"
189,"11","1135","Sauda","Sauda.png"
190,"11","1111","Sokndal","Sokndal.png"
191,"11","1124","Sola","Sola.png"
192,"11","1103","Stavanger","Stavanger.png"
193,"11","1130","Strand","Strand.png"
194,"11","1134","Suldal","Suldal.png"
195,"11","1121","Time","Time.png"
196,"11","1146","Tysvær","Tysvaer.png"
197,"11","1151","Utsira","Utsira.png"
198,"11","1160","Vindafjord","Vindafjord.png"
199,"12","1247","Askøy","Askoey.png"
200,"12","1244","Austevoll","Austevoll.png"
201,"12","1264","Austrheim","Austrheim.png"
202,"12","1201","Bergen","Bergen.png"
203,"12","1219","Bømlo","Boemlo.png"
204,"12","1232","Eidfjord","Eidfjord.png"
205,"12","1211","Etne","Etne.png"
